title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date,directors_name,directors_born_year,directors_profession,writers_name,writers_born_year,writers_profession
Singham Returns,tt2309764,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Singham_Returns_Poster.jpg/220px-Singham_Returns_Poster.jpg,https://en.wikipedia.org/wiki/Singham_Returns,Singham Returns,Singham Returns,0.0,2014.0,142,Action|Drama,5.7,6745.0,Owing to the wrongdoings affiliated with evils similar to black money  an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.,Owing to the wrongdoings affiliated with evils similar to black money  an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.,,Anupam Kher|Kareena Kapoor|Ajay Devgn|Pankaj Tripathi|Mahesh Manjrekar|Shriswara|Dayanand Shetty|Sonalee Kulkarni|Ashwini Kalsekar|Sharat Saxena|Amole Gupte|Jitendra Joshi|Smita Tambe|Sameer Dharmadhikari|,1 win & 1 nomination,15 August 2014 (USA),Rohit Shetty,1974,director|actor|stunts,Rohit Shetty|Yunus Sajawal|Farhad Samji|Sajid,1974|\N|\N|\N,director|actor|stunts|writer|director|writer|director|music_department|writer|music_department|director
Horror Story (film),tt3177332,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Horror-Story-movie-poster-2013.jpg/220px-Horror-Story-movie-poster-2013.jpg,https://en.wikipedia.org/wiki/Horror_Story_(2013_film),Horror Story,Horror Story,0.0,2013.0,91,Horror,4.3,1424.0,Seven friends reunite to bid farewell to one of their friends.They choose a haunted location an hotel which was earlier and Asylum and got destroyed due to fire.The cause of which was never know the owner of the hotel also committed suicide where rumors stated the ghost pushed him to suicide.But the friends still enter the hotel a night which will change their lives forever.,Seven youngsters decide to spend a night in an abandoned haunted hotel. What they mistook as merely rumors  dawns on them to be the truth as they realize they are not alone inside.,,Karan Kundrra|Nishant Malkani|Hassan Zaidi|Ravish Desai|Radhika Menon|Aparna Bajpai|Nandini Vaid|Sheetal Singh|Bikramjeet Singh|Masood Akhtar|Neelima Shetthi|,,2 May 2014 (USA),Ayush Raina,\N,director|writer,Mohan Azaad|Vikram Bhatt|Sukhmani Sadana,\N|1969|\N,writer|actor|director|writer|director|producer|actress|writer
Raman Raghav 2.0,tt5662932,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Raman_Raghav_2.png/220px-Raman_Raghav_2.png,https://en.wikipedia.org/wiki/Raman_Raghav_2.0,Raman Raghav 2.0,Raman Raghav 2.0,0.0,2016.0,133,Crime|Drama|Thriller,7.3,11202.0,Set in present day Mumbai the story follows the life of a serial killer Ramanna who is inspired by an infamous serial killer from the 1960s Raman Raghav. His strange obsession with Raghavan  a young Cop keeps growing as he closely follows him without his knowledge and often creates situations where both of them come face to face.,Ramanna  a maniac murderer  finds a soulmate in Raghavan  a policeman  who inspects his murder cases. He tries to make Raghavan realize how they both are similar.,,Nawazuddin Siddiqui|Vicky Kaushal|Sobhita Dhulipala|Mukesh Chhabra|Anuschka Sawhney|Vipin Sharma|Deepali Suryakant Badekar|Ashok Lokhande|Harssh Singh|Rajesh Jais|Hitesh Dave|,5 wins & 6 nominations,24 June 2016 (USA),Anurag Kashyap,1972,producer|writer|director,Vasan Bala|Anurag Kashyap,\N|1972,writer|actor|director|producer|writer|director
Roy (film),tt2976182,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Roy_film_poster.jpg/220px-Roy_film_poster.jpg,https://en.wikipedia.org/wiki/Roy_(film),Roy,Roy,0.0,2015.0,146,Action|Drama|Mystery,3.3,6789.0,Kabir Grewal  a Casanovic film maker and screenwriter is making multiple films (GUNS Trilogy) based on a thief's life and robberies  all achieving high success. In order to shoot his third installment (GUNS 3)  he goes to Malaysia  where he meets a London based film-maker Ayesha Aamir . Kabir and Ayesha get friendly and soon fall in love. When Ayesha gets to know about Kabir's casanova attitude  she breaks up with him and returns to London. Dejected Kabir goes into depression and returns back to Mumbai  leaving his film incomplete. After several failed trials Kabir couldn't find a perfect climax for his story. On his assistant Meera's suggestion Kabir goes to a film festival as part of the jury  where Ayesha's film is being screened. Ayesha  thought that Kabir is following her and asks him to stay away from her life. After his father's death and been sued by film financiers Kabir decides to move on and complete his film. In a parallel story  An infamous Roy is a mysterious ...,Successful film-maker Kabir meets with Ayesha and falls in love. He suffers a heartbreak when she leaves him. Meanwhile  a thief named Roy undergoes a change of heart when he experiences love.,,Arjun Rampal|Jacqueline Fernandez|Ranbir Kapoor|Barun Chanda|,5 wins & 6 nominations,12 February 2015 (Kuwait),Vikramjit Singh,\N,writer|cinematographer|director,Vikramjit Singh|Hussain Dalal,\N|\N,writer|cinematographer|director|actor|writer
Yeh Hai Bakrapur,tt3524410,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Yeh_hai_Bakrapur.jpg/220px-Yeh_hai_Bakrapur.jpg,https://en.wikipedia.org/wiki/Yeh_Hai_Bakrapur,Yeh Hai Bakrapur,Yeh Hai Bakrapur,0.0,2014.0,95,Comedy|Drama,3.8,240.0,Set an against the backdrop of rural India this social satire dwells on the relationship between 8year old Zulfi Quereshi  his pet goat ShahRukh and the village barber(Anshuman Jha),Set an against the backdrop of rural India this social satire dwells on the relationship between 8year old Zulfi Quereshi  his pet goat ShahRukh and the village barber(Anshuman Jha),,Anshuman Jha|Suruchi Aulakh|Asif Basra|Yoshika Verma|Faiz Khan|Shameem Khan|Utkarsh Mazumdar|,,9 May 2014 (India),Janaki Vishwanathan,\N,director|writer,Azad Alam|Jayashankarr|Janaki Vishwanathan,\N|1989|\N,writer|assistant_director|miscellaneous|writer|director|producer|director|writer
John Day (film),tt2699840,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/John_Day_Poster_%282013%29.jpg/220px-John_Day_Poster_%282013%29.jpg,https://en.wikipedia.org/wiki/John_Day_(film),John Day,John Day,0.0,2013.0,138,Drama,5.7,735.0,John Day is a bank manager and lives with his wife Maria Day. The couple has recently lost their only daughter. Maria is always depressed and never opens up with anyone. One day when John is away for office work  a courier-boy enters the house and takes Maria as a captive  then a series of misfortunes start to happen.,John Day is a bank manager and lives with his wife Maria Day. The couple has recently lost their only daughter. Maria is always depressed and never opens up with anyone. One day when John ...                    ,,Naseeruddin Shah|Randeep Hooda|Elena Kazan|Shernaz Patel|Sharat Saxena|Vipin Sharma|Makrand Deshpande|Kenneth Desai|Pramod Pathak|Sukhwinder Chahal|Dinesh Lamba|Bharat Dabholkar|Deepak Shirke|,,13 September 2013 (India),Ahishor Solomon,\N,writer|assistant_director|director,Kartik Krishnan|Ahishor Solomon,\N|\N,actor|producer|writer|writer|assistant_director|director
A Flying Jatt,tt5235880,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/A_Flying_Jatt_poster.jpg/220px-A_Flying_Jatt_poster.jpg,https://en.wikipedia.org/wiki/A_Flying_Jatt,A Flying Jatt,A Flying Jatt,0.0,2016.0,151,Action|Adventure|Comedy,3.2,3165.0,Malhotra wants to acquire a land of Sikh colony for his factory which is owned by Mrs Dhillon known as Bebe however Bebe is in no mood to sell the land to him it also has a tree which is considered holy by the everyone.Malhotra threatens Bebe 's son Aman that her life would be in danger if she doesn't sell the land to him Malhotra sends Raka to cut the tree.On a stormy night Aman sits near the holy tree praying for his mother he notices that Raka is cutting the tree a fight occurs between them after being beaten by Raka Aman gets holy powers from the tree and fights back soon Aman turns a superhero known as Flying Jat who helps people in need whereas Raka turns into a toxic Monster who wants to pollute the environment.,Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka  who he must vanquish to save the day.,,Tiger Shroff|Jacqueline Fernandez|Nathan Jones|Kay Kay Menon|Mukesh Hariawala|Amrita Singh|Gaurav Pandey|Shraddha Kapoor|Amrita Puri|,1 win & 1 nomination,25 August 2016 (India),Remo D'Souza,\N,miscellaneous|actor|director,Remo D'Souza|Tushar Hiranandani|Aakash Kaushik|Madhur Sharma,\N|\N|\N|\N,miscellaneous|actor|director|writer|miscellaneous|director|writer|miscellaneous|writer
Jai Jawaan Jai Kisaan (film),tt2872050,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Official_Poster_of_Jai_Jawaan_Jai_Kisaan.jpg/220px-Official_Poster_of_Jai_Jawaan_Jai_Kisaan.jpg,https://en.wikipedia.org/wiki/Jai_Jawaan_Jai_Kisaan_(Film),Jai Jawaan Jai Kisaan,Jai Jawaan Jai Kisaan,0.0,2015.0,100,Biography|Drama|History,5.4,24.0,Jai Jawaan Jai Kisaan is a journey about Lal Bahadur Shashtri's glorious life. The movie begins with the various freedom fights in the country during the pre-independence era. A time where two groups ( Garam Dal and Naram Dal) had waged a war against Britishers with different set of ideologies. It was under the leadership of Gandhi ji that Naram Dal took on the Britishers and led a peaceful march towards independence. Lal Bahadur Shastri was a prominent personality in this group and has a huge role to play in the history of India's independence. However this dynamic leader had his own story to deal with during the initial phase of his life. A low economic background  untimely death of his father and a mother to look after...these were just some of the problems that gave Lal Bahadur Shashtri a direction in life. After completing his studies in Banaras  Shashtri ji came to Allahabad and that's when he witnessed a revolution in the country. Inspired to take part in the freedom fight  Lal...,Jai Jawaan Jai Kisaan is a journey about Lal Bahadur Shashtri's glorious life. The movie begins with the various freedom fights in the country during the pre-independence era. A time where ...                    ,,Rati Agnihotri|Kanchan Awasthi|Rishi Bhutani|Prem Chopra|Imran Hasnee|Jatin Khurana|Avinash Kumar|,,6 February 2015 (India),Milann Ajmera,\N,director,Dhiraj Mishra,\N,writer|director
Ladies vs Ricky Bahl,tt1954598,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/LadiesVsRickyBahl2.jpg/220px-LadiesVsRickyBahl2.jpg,https://en.wikipedia.org/wiki/Ladies_vs_Ricky_Bahl,Ladies vs. Ricky Bahl,Ladies vs. Ricky Bahl,0.0,2011.0,140,Comedy|Drama|Romance,5.9,8069.0,Dimple Chaddha (Parineeti Chopra)  a brash 19 year old Delhi college girl falls in love with Sunny Singh  a fitness trainer. Raina Parulekar (Dipannita Sharma)  a 28 year old independent and successful corporate woman in Mumbai does business with an art dealer Deven Shah. Saira Rashid (Aditi Sharma)  a 24 year old sweet  hard working widow in Lucknow makes a new friend  the shy Iqbal Khan. Three very different girls who each get taken for a lot of money by each of these three men. The problem is that it is actually just one man - Ricky Bahl (Ranveer Singh)  a suave and charming con-man who revels in the game and is only after the Money. A chance encounter brings these three women together who vow to take down Ricky Bahl and get their money back. The next step is the actual plan. Enter Ishika Desai (Anushka Sharma)  a young and ambitious girl whose street smart ways will one day  very soon  get her to the top. The furious trio  one professional con-man and a girl who loves adventure. ...,"A smooth and charming conman  Ricky Bahl  cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",,Ranveer Singh|Anushka Sharma|Parineeti Chopra|Dipannita Sharma|Aditi Sharma|,7 wins & 3 nominations,9 December 2011 (India),Maneesh Sharma,\N,assistant_director|producer|director,Devika Bhagat|Aditya Chopra|Habib Faisal,1979|1971|\N,writer|assistant_director|director|producer|writer|director|writer|director|actor
Badhaai Ho,tt7725596,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Badhaai_Ho_Official_Poster.jpg/220px-Badhaai_Ho_Official_Poster.jpg,https://en.wikipedia.org/wiki/Badhaai_Ho,Badhaai Ho,Badhaai Ho,0.0,2018.0,124,Comedy|Drama,8.0,21851.0,Nakul a 25 year old in relationship with Renne and soon plan to marry .His father Jeetender Kaushik works for railways while mother Priyamvada is housewife whose always taunted by his grandmother.When Nakul finds that his mother is pregnant at the age when Nakul is about to marry he starts to avoid their parents  friends and society.,A man is embarrassed when he finds out his mother is pregnant.,,Ayushmann Khurrana|Sanya Malhotra|Neena Gupta|Gajraj Rao|Surekha Sikri|Sheeba Chaddha|Shardul Rana|Rahul Tewari|Arun Kalra|,17 wins & 20 nominations,19 October 2018 (USA),Amit Ravindernath Sharma,\N,director|producer,Akshat Ghildial|Jyoti Kapoor|Shantanu Srivastava,\N|\N|\N,writer|writer|writer
Panchlait,tt7571718,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Poster_of_Panchlait_2017.jpg/220px-Poster_of_Panchlait_2017.jpg,https://en.wikipedia.org/wiki/Panchlait,Panchlait,Panchlait,0.0,2017.0,\N,Drama,8.0,45.0,"Set in either the 1950s or 1960s  Panchlait tells the story of a small village in North India that still has no electricity and its people live in darkness  engrossed in its own little sorrows and joys. Godhan  who belongs to the Mahato Tola of the village  is outcast from the village after he refuses to pay any part of his inheritance to the village and is falsely accused by Munri's mother for singing inappropriate Hindi songs for Munri. However  the day that the tola decides to celebrate by bringing in their own panchlight  the sarpanch realises that no one from the tola apart from Godhan knows how to light the petromax. Keeping aside his ego  the Sarpanch annuls Godhan's punishment and sends a word for him  who finally becomes a part of the tola and also helps the village in being lit up  becoming the hero in everyone's eyes. Panchlight (pronounced as ""panchlait"") written by Phanishwar Nath 'Renu' also known as Petromax is a kerosene lamp which uses paraffin in it and then a hand ...",Set in either the 1950s or 1960s  Panchlait tells the story of a small village in North India that still has no electricity and its people live in darkness  engrossed in its own little ...                    ,,Nayna Bandhopadhyay|Uma Basu|Punya Darshan Gupta|Ravi Jhankal|Brijendra Kala|Anuradha Mukherjee|Amitosh Nagpal|Pranay Narayan|Lalit Parimoo|Malini Sengupta|Rajesh Sharma|Yashpal Sharma|Iqbal Sultan|Punit Tiwari|,,17 November 2017 (India),Prem Prakash Modi,\N,assistant_director|director|actor,Rakesh Kumar Tripathi|Rakesh Kumar Tripathi,\N|\N,writer|assistant_director|music_department|writer
Not a Love Story (2011 film),tt1999935,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Not-a-love-story.jpg/220px-Not-a-love-story.jpg,https://en.wikipedia.org/wiki/Not_a_Love_Story_(2011_film),Not a Love Story,Not a Love Story,0.0,2011.0,100,Crime|Drama|Thriller,5.0,666.0,"Standing at 5'6""  Chandigarh-born Anusha Chawla  bids adieu to her boyfriend  Robin Fernandes  and re-locates to Mumbai  in order to act in movies. Weeks later she manages to meet a film-maker  Sam  who assures her of a lead role on the condition that she become intimate with him but she walks away. She meets with more disappointment when a movie with Richa gets shelved. Disappointed  she nevertheless continues to audition - encouraged by her new friends  Anju and Prashant - while Robin urges her to return home. She then meets with Ashish Bhatnagar  who puts her on a short-list  eventually gets approval  and signs her in a lead role. Both celebrate in a pub  get intoxicated and end up in bed in her Malad flat. The next day  a delighted Robin  happy with her success  attends at her residence to congratulate and surprise her  is enraged at Ashish and kills him. He subsequently cuts the latter's body in small pieces and the duo borrow Prashant's car  drive to an isolated spot in Dahisar ...",An aspiring movie actress and her boyfriend are arrested and charged with Homicide.,,Deepak Dobriyal|Mahie Gill|Zakir Hussain|Darshan Jariwala|Urmila Matondkar|Ajay Gehi|Prabhleen Sandhu|Neil Bhoopalam|Dimple Ghosh|,,19 August 2011 (India),Ram Gopal Varma,1962,director|producer|writer,Rohit G. Banawlikar|Galen Rosenthal,\N|\N,writer|writer|assistant_director|director
Staying Alive (2012 film),tt2188893,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Staying_Alive.jpg/220px-Staying_Alive.jpg,https://en.wikipedia.org/wiki/Staying_Alive_(2012_film),Staying Alive,Staying Alive,0.0,2012.0,89,Drama,5.7,26.0,A newspaper sub-editor  Aditya (Ananth Mahadevan) suffers his third heart attack and finds himself in the ICU of a hospital. On the bed next to him is Shaukat Ali (Saurabh Shukla)  a gangster who has suffered his first heart attack. While Aditya scoffs at death  Ali is terrified of dying. The movie is his journey of realising death is inevitable and the greatest feeling is to simply be alive.,A newspaper sub-editor  Aditya (Ananth Mahadevan) suffers his third heart attack and finds himself in the ICU of a hospital. On the bed next to him is Shaukat Ali (Saurabh Shukla)  a ...                    ,,Jahangir Khan|Ananth Narayan Mahadevan|Navni Parihar|Chandan Sanyal|Ranjana Sasan|Saurabh Shukla|,,3 February 2012 (India),Ananth Narayan Mahadevan,1950,actor|director|writer,Sujit Sen,\N,writer|assistant_director
A Decent Arrangement,tt1704680,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/A_Decent_Arrangement.jpg/220px-A_Decent_Arrangement.jpg,https://en.wikipedia.org/wiki/A_Decent_Arrangement,A Decent Arrangement,A Decent Arrangement,0.0,2011.0,96,Comedy|Drama,5.7,220.0,A Decent Arrangement is the story of Ashok Khosla  an Indian-American copywriter  who travels to India for an arranged marriage. After he encounters an American woman traveling through India and is set up with an Indian woman who unexpectedly captivates him  Ashok must navigate the complexity of cultural traditions and the leanings of his own heart. With subtle comedy and true-to-life drama  A Decent Arrangement shows us a side of India not commonly seen by western audiences and delivers an emotional story that resonates with those of us in search of our place in the world.,A Decent Arrangement is the story of Ashok Khosla  an Indian-American copywriter  who travels to India for an arranged marriage. After he encounters an American woman traveling through ...                    ,,Shabana Azmi|Diksha Basu|Adhir Bhat|Adam Laupus|Lethia Nall|,,7 November 2014 (India),Sarovar Banka,\N,director|writer|producer,Sarovar Banka,\N,director|writer|producer
The Sky Is Pink,tt8902990,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/The_Sky_Is_Pink.jpg/220px-The_Sky_Is_Pink.jpg,https://en.wikipedia.org/wiki/The_Sky_Is_Pink,The Sky Is Pink,The Sky Is Pink,0.0,2019.0,143,Drama|Family|Romance,6.6,1659.0,"The Sky Is Pink is the incredible love story of a couple spanning 25 years  told through the lens of their teenage daughter. She is sassy  sardonic  spunky and also...dead. A fact she nonchalantly mentions at the very outset. ""Get over it. It's quite cool actually. You'll see when you get here (which you do know you will right?!)"" Unexpectedly humorous  warm and heart wrenching all at once as the magic of life and beauty of death manifest in one family's unusual  courageous journey in this 100% true story.",It is based on the love story of a couple spanning 25 years  told through the lens of their spunky teenage daughter Aisha Chaudhary  who was diagnosed with a Pulmonary fibrosis .,Har Ek Ka Apna Sky Hota Hain,Zaira Wasim|Priyanka Chopra|Farhan Akhtar|Rohit Saraf|,,11 October 2019 (USA),Shonali Bose,\N,director|writer|producer,Shonali Bose|Nilesh Maniyar,\N|\N,director|writer|producer|writer|assistant_director|casting_director
Evening Shadows,tt6028796,,https://en.wikipedia.org/wiki/Evening_Shadows,Evening Shadows,Evening Shadows,0.0,2018.0,102,Drama,7.3,280.0,While gay rights and marriage equality has been embraced by most countries  a small town in Southern India lives within a cocoon of traditions and social morality. In such a milieu when a young gay man Kartik  comes out to his mother Vasudha  her entire world comes crashing down. She has no one to turn to dispel her fears and doubts  to understand her loving son's truth. Moreover as a woman  trapped within a patriarchal conservative society  her biggest challenge is to deal with her dogmatic husband Damodar  and the conservative society around her. 'Evening Shadows' is a universal story about a mother-son bonding and its emotional strength to withstand the ravages of time and harsh realities.,Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.,,Mona Ambegaonkar|Ananth Narayan Mahadevan|Devansh Doshi|Arpit Chaudhary|Yamini Singh|Abhay Kulkarni|Veena Nair|Disha Thakur|Kala Ramanathan|Sushant Divgikar|,17 wins & 1 nomination,11 January 2019 (India),Sridhar Rangayan,\N,director|writer|producer,Saagar Gupta|Sridhar Rangayan,\N|\N,writer|producer|art_director|director|writer|producer
Hum Hai Raahi Car Ke,tt2100543,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Hum_Hai_Raahi_Car_Ke.Jpg/220px-Hum_Hai_Raahi_Car_Ke.Jpg,https://en.wikipedia.org/wiki/Hum_Hai_Raahi_CAR_Ke,Hum Hai Raahi CAR Ke,Hum Hai Raahi CAR Ke,0.0,2013.0,\N,Comedy|Romance,3.0,135.0,Hum Hai Raahi CAR Ke is the story of two friends who on one New Year's night decide to travel from Mumbai to Pune. But a trip that should only take a couple of hours ends up becoming an all-nighters  with wacky events keeping them on the road and preventing them from reaching their destination.,Hum Hai Raahi CAR Ke is the story of two friends who on one New Year's night decide to travel from Mumbai to Pune. But a trip that should only take a couple of hours ends up becoming an ...                    ,,Anupam Kher|Sanjay Dutt|Juhi Chawla|Adah Sharma|Rati Agnihotri|Chunky Pandey|Ashish Ranglani|Vivek Vaswani|Ganesh Venkatraman|Dev Goel|,,24 May 2013 (India),Jyotin Goel,\N,writer|director|producer,Jyotin Goel,\N,writer|director|producer
Once Upon ay Time in Mumbai Dobaara!,tt1891884,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Once_Upon_ay_Time_in_Mumbai_Dobaara%21.jpg/220px-Once_Upon_ay_Time_in_Mumbai_Dobaara%21.jpg,https://en.wikipedia.org/wiki/Once_Upon_Ay_Time_In_Mumbai_Dobaara!,Once Upon a Time in Mumbai Dobaara!,Once Upon a Time in Mumbai Dobaara!,0.0,2013.0,160,Action|Crime|Drama,4.6,6211.0,The story of Shoaib  an underworld don who came to power by killing his mentor and has extended his kingdom with the help of his best friend  Javed  and his former lover  Mumtaz. While visiting the area where he grew up  he meets Aslam  who becomes his accomplice.,After killing his mentor  a gangster comes into power to rule over Mumbai. In the process he falls for an aspiring actress  nevertheless he finds that his protege has fallen for her too which leads to enmity between them.,,Akshay Kumar|Imran Khan|Sonakshi Sinha|Sonali Bendre|Mahesh Manjrekar|Akash Khurana|Sophiya Chaudhary|Mushtaq Khan|Vidya Malvade|Abhimanyu Singh|Sarfaraz Khan|Chetan Hansraj|Tiku Talsania|Bala Manian|,3 wins & 1 nomination,15 August 2013 (USA),Milan Luthria,\N,director|assistant_director|producer,Rajat Arora|Aditi Mediratta,\N|\N,writer|music_department|soundtrack|writer|director|assistant_director
Kaun Kitne Paani Mein,tt3477214,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Kaun_Kitne_Paani_Mein_-_Poster.jpg/220px-Kaun_Kitne_Paani_Mein_-_Poster.jpg,https://en.wikipedia.org/wiki/Kaun_Kitne_Paani_Mein,Kaun Kitney Paani Mein,Kaun Kitney Paani Mein,0.0,2015.0,112,Comedy|Drama|Family,6.2,417.0,The film wryly expresses the changes in hierarchy  caste and the power equation when water  the most important resource  vanishes and how the oppressed become the oppressors. The story is told through two villages which were split based on caste and money but never through water. In the current situation  through reversals of fortune  the old world order has been broken and water becomes the biggest game changer. It has a domino effect on everything from social order to economics  even love and marriage. The film takes a satirical look at respect for resources  caste divides  and rural life against the backdrop of a traditional love story but all set in a realm where water is the new currency.,The film wryly expresses the changes in hierarchy  caste and the power equation when water  the most important resource  vanishes and how the oppressed become the oppressors. The story is ...                    ,'When you have no water| You have to play Dirty'.,Kunal Kapoor|Radhika Apte|Saurabh Shukla|Gulshan Grover|,,28 August 2015 (India),Nila Madhab Panda,\N,director|producer|writer,Protiqe Mojoomdar|Nila Madhab Panda|Rahul Ramchandani|Rahul Singh|Deepak Venkatesha,\N|\N|\N|\N|\N,writer|music_department|producer|director|producer|writer|writer|writer|writer|script_department
Manjunath (film),tt3056632,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Manjunath_Movie_Poster.jpeg/220px-Manjunath_Movie_Poster.jpeg,https://en.wikipedia.org/wiki/Manjunath_(Film),Manjunath,Manjunath,0.0,2014.0,130,Biography|Drama,7.3,462.0,Manjunath is a true  inspirational and hard hitting story of an ordinary man and his fight against corruption. After passing out from the prestigious Indian Institute of Management  Lucknow  Manjunath Shanmugam was placed with an Oil company as a sales manager only to blow open the large scale adulteration of fuel taking place in the country. It was then that this courageous and honest man was brutally murdered while trying to do his job in the right way and became the victim of this very system which he was trying to protect.,'Manjunath' is a warm inspirational film based on the true story of Manjunath Shanmugam  a sales officer from a petroleum company who was killed by the oil mafia in 2005 for his stand against fuel adulteration.,,Anjori Alagh|Karan Ashar|Aarun D. Baliean|Asif Basra|Seema Biswas|Saksham Dayma|Divya Dutta|Kishore Kadam|Rajesh Khattar|Nalneesh|Anand Nandkumar|Nalneesh Neel|Om Prakash|Faisal Rashid|,,9 May 2014 (India),Sandeep A. Varma,\N,director|writer|producer,Nitin Dwivedi|Sandeep A. Varma,\N|\N,miscellaneous|writer|production_manager|director|writer|producer
Amavas,tt8396186,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Amavas_official_poster.jpg/220px-Amavas_official_poster.jpg,https://en.wikipedia.org/wiki/Amavas,Amavas,Amavas,0.0,2019.0,134,Horror|Thriller,2.8,235.0,Far away from the bustle of the city  a young couple is looking forward to their stay in a once-abandoned palatial mansion. But their lives are about to turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow.,The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.,,Ali Asgar|Vivan Bhatena|Nargis Fakhri|Sachiin Joshi|Shabnam Karimzada|Kevin Matadeen|,,8 February 2019 (India),Bhushan Patel,\N,director|camera_department|cinematographer,Aparna Nadig|Tanya Pathak,\N|\N,writer|writer
Gabbar Is Back,tt2424988,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Gabbar_is_back_first_look.jpg/220px-Gabbar_is_back_first_look.jpg,https://en.wikipedia.org/wiki/Gabbar_is_Back,Gabbar is Back,Gabbar is Back,0.0,2015.0,128,Action,7.1,21430.0,Gabbar Singh Rajput (Akshay Kumar) creates his own vigilante military network called the Anti-Corruption Force (ACF) that eliminates the most corrupt individuals  from all walks of life  in a systematic manner. As pressure builds on Police and Government to track down the man who masterminds these killings  Balbir Singh (Sonu Sood) is specially summoned to head the task. He is aided by Suryam (Prakash Raj) who  though being just a constable in the mammoth Police force  is compelled by his instincts to see through the underlying design.,A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,,Akshay Kumar|Shruti Haasan|Kareena Kapoor|Jaideep Ahlawat|Chitrangda Singh|Sunil Grover|Shruti Bapna|Jitendra Trehan|Suman|Vikas Shrivastav|Ishita Vyas|Rajiv Kachroo|Sanjay Gurbaxani|Jagdish Rajpurohit|,1 win,1 May 2015 (India),Radha Krishna Jagarlamudi|Radha Krishna Jagarlamudi,\N|\N,director|writer|actor|director|writer|actor,A.R. Murugadoss|Rajat Arora|D.S. Kannan|A.R. Murugadoss|Rajat Arora|D.S. Kannan,\N|\N|\N|\N|\N|\N,writer|director|actor|writer|music_department|soundtrack|writer|director|writer|director|actor|writer|music_department|soundtrack|writer|director
Running Shaadi,tt6296236,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Running_Shaadi.jpg/220px-Running_Shaadi.jpg,https://en.wikipedia.org/wiki/Runningshaadi.com,Running Shaadi,Running Shaadi,0.0,2017.0,114,Comedy|Romance,6.7,2268.0,Two friends  Ram Bharose and tech genius Cyberjeet  create a website that helps lovers to elope. The site is an instant hit; young couples line up for the opportunity to escape strict families and run away with the ones they love.,Two friends  Ram Bharose and tech genius Cyberjeet  create a website that helps lovers to elope. The site is an instant hit; young couples line up for the opportunity to escape strict families and run away with the ones they love.,,Arsh Bajwa|Taapsee Pannu|Richa Meena|Amit Sadh|Inder Pal Singh|Brijendra Kala|,,17 February 2017 (USA),Amit Roy,\N,cinematographer|director|writer,Navjot Gulati|Amit Roy,\N|\N,writer|actor|director|cinematographer|director|writer
Hey Bro,tt4512230,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Hey_bro_new_Poster.jpeg/220px-Hey_bro_new_Poster.jpeg,https://en.wikipedia.org/wiki/Hey_Bro,Hey Bro,Hey Bro,0.0,2015.0,113,Action|Comedy|Drama,3.3,119.0,A villager goes to Mumbai to find his judwa brother. But he finds his judwa brother is opposite to him and the whole movie runs around this.,A villager goes to Mumbai to find his judwa brother. But he finds his judwa brother is opposite to him and the whole movie runs around this.,,Ganesh Acharya|Maninder Singh|Nupur Sharma|Prem Chopra|Hanif Hilal|Indira Krishnan|Govinda|Kurush Deboo|,,6 March 2015 (India),Ajay Chandhok,\N,assistant_director|director|miscellaneous,M. Salim,\N,writer|producer
